rider_id,rider_name,team_id,team_name,country,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15
46,MOSER Moreno,CPT,CANNONDALE PRO CYCLING TEAM,ITA,675,17386,33211,50465,70939,88794,106985,122313,125895,147347,165934,181294,197730,220838,222745
47,NAVARDAUSKAS Ramunas,CPT,CANNONDALE PRO CYCLING TEAM,LTU,689,17400,33588,51159,71598,89453,107644,123974,127432,149945,168802,184162,202434,227037,229073
48,BETTIOL Alberto,CPT,CANNONDALE PRO CYCLING TEAM,ITA,704,17415,33240,50811,71250,89105,107208,123538,126991,148443,167300,182660,200271,224127,226115
49,BROWN Nathan,CPT,CANNONDALE PRO CYCLING TEAM,USA,721,17432,33620,50902,71445,88493,106735,122585,126023,146808,165316,180676,198101,221957,223887
51,ANTON HERNANDEZ Igor,DDD,TEAM DIMENSION DATA,ESP,738,17449,33371,50625,71064,87972,106049,121457,124809,145621,163578,178938,195547,218819,220852
52,FRAILE MATARRANZ Omar,DDD,TEAM DIMENSION DATA,ESP,725,17508,33792,51975
53,JIM Songezo,DDD,TEAM DIMENSION DATA,RSA,770,17554,33838,51539,72210,89920,108162,124492,127995,150320,168907,184267,202539,227142,229210
54,KUDUS GHEBREMEDHIN Merhawi,DDD,TEAM DIMENSION DATA,ERI,744,17455,33280,50562,71001,88037,106114,121817,125302,146996,164953,180313,197448,220720,222716
55,SBARAGLI Kristian,DDD,TEAM DIMENSION DATA,ITA,731,17442,33267,50521,70956,88666,106734,122813,126288,148613,166547,181907,200179,224035,226106
56,SIUTSOU Kanstantsin,DDD,TEAM DIMENSION DATA,BLR,703,17414,33239,50456,70895,87784,105852,121252,124632,145448,163253,178613,195088,217101,218939
57,THOMSON Jay Robert,DDD,TEAM DIMENSION DATA,RSA,741,17452,33640,51823,72494,90349,108591,124921,128408,150733,169320,184822,203094,227697,229761
58,VAN ZYL Johann,DDD,TEAM DIMENSION DATA,RSA,716,17427,33302,51003,71634,89489,107731,123706,127125,149450,167384,182744,200169,224025,225996
59,VENTER Jacobus,DDD,TEAM DIMENSION DATA,RSA,709,17531,33407,51108,71638,89493,107684,123017,126497,148822,167330,182690,200301,224417,226354
61,KITTEL Marcel,EQS,ETIXX - QUICK-STEP,GER,674,17375,33190,50891,71562,89417,107754,124084
62,BRAMBILLA Gianluca,EQS,ETIXX - QUICK-STEP,ITA,713,17424,33249,50466,70905,87842,105919,121154,124384,145263,163145,178505,194951,218807,220723
63,DE LA CRUZ David,EQS,ETIXX - QUICK-STEP,ESP,697,17408,33233,50487,70926,87867,105944,121444,124716,145956,164289,179649,197479,220114,221923
64,JUNGELS Bob,EQS,ETIXX - QUICK-STEP,LUX,676,17387,33212,50429,70864,87770,105838,121235,124385,145192,162980,178340,194776,217133,218916
65,SABATINI Fabio,EQS,ETIXX - QUICK-STEP,ITA,709,17420,33245,50946,71617,89472,107809,124139,127445,149770,168278,183638,201910,226098
66,SERRY Pieter,EQS,ETIXX - QUICK-STEP,BEL,695,17406,33231,50610,71241,88824,107161,123011,126223,148010,166867,182227,199838,223538,225486
67,TRENTIN Matteo,EQS,ETIXX - QUICK-STEP,ITA,734,17445,33290,50572,71037,88892,106960,122435,125871,148380,166185,181545,199817,224005,226046
68,VERONA Carlos,EQS,ETIXX - QUICK-STEP,ESP,722,17433,33258,50512,70951,87873,105950,121358,124672,145613,164470,179830,197441,220129,222008
69,WISNIOWSKI Lukasz,EQS,ETIXX - QUICK-STEP,POL,683,17394,33219,51402,72033,89888,108225,124555,127832,150341,168849,184209,202481,227084,229089
71,DEMARE Arnaud,FDJ,FDJ,FRA,703,17408,33233,50620,71049,88904,106972,123302,126868,149795,168652,184012,202284
72,COURTEILLE Arnaud,FDJ,FDJ,FRA,720,17431,33619,51320,71986,89841,108083,123933,127329,150256,169113,184473,202745,226933,228797
73,DELAGE Mickael,FDJ,FDJ,FRA,728,17439,33370,51553,72031,89886,107963,124293,127616,150543,169400,184760,203032,227635,229713
74,FISCHER Murilo Antonio,FDJ,FDJ,BRA,718,17429,33713,51896,72439,90294,108443,124773,128210,151137,169994,185354,203626,227814,229930
75,GENIEZ Alexandre,FDJ,FDJ,FRA,684,17395,33317
76,KONOVALOVAS Ignatas,FDJ,FDJ,LTU,698,17409,33597,50984,71491,89346,107435,123765,127258,150185,169042,184402,202674,226862,228859
77,LE GAC Olivier,FDJ,FDJ,FRA,719,17528,33609,51310,71976,89831,107934,124264,127719,150646,169503,184863,203135,227738,229801
78,SARREAU Marc,FDJ,FDJ,FRA,717,17428,33616,51799,72362,90332,108517,124847,128216,151143,170000,185754
79,VAUGRENARD Benoit,FDJ,FDJ,FRA,703,17482,33307,50878,71544,89399,107584,123914,127198,150125,168982,184342,202172,226028,228023
81,KOLOBNEV Alexandr,GAZ,GAZPROM - RUSVELO,RUS,745,17456,33281,50852,71310,89165,107350,123429,127084,149156,167060,182420,200031,223968,226055
82,RYBALKIN Aleksey,GAZ,GAZPROM - RUSVELO,RUS,741,17452,33736,51437,72219,90074,108316,124646,127984,150911,169498,184858,202469,227072,228908
83,ERSHOV Artur,GAZ,GAZPROM - RUSVELO,RUS,706,17417,33242,51425,72207,90179,108668,125190,128726,151653,170510,185870,204142,228745,231078
84,FIRSANOV Sergey,GAZ,GAZPROM - RUSVELO,RUS,713,17424,33249,50466,70905,87809,105886,121235,124656,145474,163279,178639,195774,219711,221460
85,FOLIFOROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,729,17440,33724,51425,72094,89248,107490,123820,127169,148621,167208,182568,198954,222401,224120
86,OVECHKIN Artem,GAZ,GAZPROM - RUSVELO,RUS,706,17417,33605,51788,72570,90425,108667,124997,128278,150603,169190,184804,203076,227679,229575
87,SAVITSKIY Ivan,GAZ,GAZPROM - RUSVELO,RUS,727,17438,33263,50834,71273,89128,107196,123526,127078,149403,167208,182568,200840,224696,226621
88,SEROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,700,17411,33531,51232,71903,89758,107843,123922,127206,149531,168118,183478,201750,226353,228314
89,SOLOMENNIKOV Andrey,GAZ,GAZPROM - RUSVELO,RUS,737,17448,33273,51201,71872,89727,107898,124228,127626,149951,168808,184168,202440,227043,229058
91,HAUSSLER Heinrich,IAM,IAM CYCLING,AUS,719,17430,33271,50658,71097,88952,107020,123099,126495,148820,166724,182084,200356,224959,227022
92,BRANDLE Matthias,IAM,IAM CYCLING,AUT,677,17388,33213,51396,73035,91087,109329,125851,128966,151893,170793,186153,204574
93,HOWARD Leigh,IAM,IAM CYCLING,AUS,693,17404,33229,50930,71458,89313,107381,123711,127087,149412,168269,183629,201901,226089
94,KLUGE Roger,IAM,IAM CYCLING,GER,679,17390,33215,51010,71775,89827,108106,124628,128299,150624,169396,184756,203177,227780,229848
95,PELUCCHI Matteo,IAM,IAM CYCLING,ITA,770,17481,33306,51489,73128
96,DENIFL Stefan,IAM,IAM CYCLING,AUT,711,17520,33708,51171,72027,89882,108289,124143,127401,149726,167683,183297,199683,222435,224435
97,WARBASSE Lawrence,IAM,IAM CYCLING,USA,710,17421,33343,51044,71710,89565
98,WYSS Marcel,IAM,IAM CYCLING,SUI,706,17417,33242,50548,70999,88014,106091,121621,125005,145946,164803,180163,198435,221187,223180
99,LAENGEN Vegard Stake,IAM,IAM CYCLING,NOR,709,17420,33501,51202,71812,89667,107980,124310,127432,149757,167912,183272,201564,225420,227346
100,ULISSI Diego,LAM,LAMPRE - MERIDA,ITA,692,17403,33228,50429,70868,87776,105844,121241,124558,145365,163147,178507,195068,218924,220715
101,CONTI Valerio,LAM,LAMPRE - MERIDA,ITA,710,17421,33246,50528,70979,88036,106113,121663,125112,146053,163858,179218,196136,219992,221886
102,FERRARI Roberto,LAM,LAMPRE - MERIDA,ITA,729,17440,33296,50997,71481,89336,107485,123815,127334,149659,168246,183606,201878,226481,228536
103,KOSHEVOY Ilia,LAM,LAMPRE - MERIDA,BLR,735,17446,33368,51069,71740,89595,108001,124331,127832,149619,168206,183733,201158,225761,227783
104,MODOLO Sacha,LAM,LAMPRE - MERIDA,ITA,719,17426,33251,50533,70972,88682,106746,123076,126662,148987,166792,182152,200087,224690,226664
105,MOHORIC Matej,LAM,LAMPRE - MERIDA,SLO,724,17435,33260,50961,71450,89305,107393,123723,127026,149351,167545,182905,200515,225118,227200
106,MORI Manuele,LAM,LAMPRE - MERIDA,ITA,728,17439,33264,50517,70956,88666,106743,122470,125923,147617,166204,181564,199175,223031,225002
107,NIEMIEC Przemyslaw,LAM,LAMPRE - MERIDA,POL,727,17438,33360,51061,71618,88710,106859,122586,126055,148139,166726,182253,200525
109,PETILLI Simone,LAM,LAMPRE - MERIDA,ITA,727,17438,33263,50650,71281,88991,107176,123506,126976,148077,166664,182024,199635,223491,225325
111,WELLENS Tim,LTS,LOTTO SOUDAL,BEL,691,17402,33590,50977,71759,88553,106795,123125,126527,148852,166657,182017,200289,224145,225960
112,BAK Lars Ytting,LTS,LOTTO SOUDAL,DEN,698,17482,33357,50820,71486,89341,107583,123913,127249,148872,166829,182189,200461,224317,226295
113,DE BIE Sean,LTS,LOTTO SOUDAL,BEL,694,17405,33230,50617,71399,89254,107398,123125,126549,148874,167382,182742,200353,224956,226950
114,GREIPEL Andr&#233;,LTS,LOTTO SOUDAL,GER,697,17408,33233,50696,71121,88976,107034,123364,126890,149215,167723,183083
115,HANSEN Adam,LTS,LOTTO SOUDAL,AUS,726,17468,33390,50853,71396,89106,107255,123230,126741,148545,166446,181806,200078,224681,226681
116,LIGTHART Pim,LTS,LOTTO SOUDAL,NED,708,17419,33539,51240,71797,89646,108053,124383,127797,150122,168222,183582,201854,226457,228537
117,MONFORT Maxime,LTS,LOTTO SOUDAL,BEL,701,17412,33237,50519,70958,87899,105967,121377,124675,145616,163421,178781,195344,217632,219539
118,ROELANDTS Jurgen,LTS,LOTTO SOUDAL,BEL,698,17409,33597,51168,71684,89539,107616,123946,127269,149594,167680,183040
119,VANENDERT Jelle,LTS,LOTTO SOUDAL,BEL,728,17466,33388,50959,71741,89596,108003,124333,127849,148918,166869,182229,200501,224357,226448
121,VALVERDE Alejandro,MOV,MOVISTAR TEAM,ESP,687,17398,33223,50440,70875,87776,105844,121190,124439,145242,163047,178407,194793,216949,218691
122,AMADOR Andrey,MOV,MOVISTAR TEAM,CRC,669,17380,33205,50459,70898,87806,105883,121232,124416,145218,163004,178364,194750,216958,218809
123,BETANCUR Carlos A.,MOV,MOVISTAR TEAM,COL,700,17411,33236,50518,70979,88689,106838,122813,126139,147504,165309,180669,198499,223102,225028
124,HERRADA LOPEZ Jos&#233;,MOV,MOVISTAR TEAM,ESP,720,17431,33715,51416,72082,89292,107699,124029,127419,148818,167107,182467,199602,223260,225256
125,MORENO Javier,MOV,MOVISTAR TEAM,ESP,694,17405,33593,51164,71830,88918
126,ROJAS GIL Jose Joaquin,MOV,MOVISTAR TEAM,ESP,713,17424,33249,50712,71183,88766,106843,122225,125599,146964,164769,180129,197212,220659,222719
127,SUTHERLAND Rory,MOV,MOVISTAR TEAM,AUS,705,17489,33673,51374,72040,89750,108157,124132,127486,149180,167767,183127,200957,224813,226692
128,SUTTERLIN Jasha,MOV,MOVISTAR TEAM,GER,704,17488,34125,52308,72974,90829,108906,124316,127537,149862,168370,183730,201560,226163,228158
129,VISCONTI Giovanni,MOV,MOVISTAR TEAM,ITA,695,17406,33231,50485,70924,87897,105974,121384,124671,145474,163279,178639,194985,217673,219473
131,CUNEGO Damiano,NIP,NIPPO - VINI FANTINI,ITA,750,17461,33649,50928,71421,88865,107107,123082,126514,147310,165504,180864,197633,220321,222219
132,BERLATO Giacomo,NIP,NIPPO - VINI FANTINI,ITA,722,17493,33570,51271,71722,89577,107819,123219,126607,148932,167126,182486,200758
133,BISOLTI Alessandro,NIP,NIPPO - VINI FANTINI,ITA,738,17449,33637,50953,71584,88632,106969,123299,126841,149166,167100,182460,199885,224488,226572
134,BOLE Grega,NIP,NIPPO - VINI FANTINI,SLO,745,17567,33851,52034,72705,90560,108967,125386,128750,151364,169248,184608,202033,226636,228740
135,STACCHIOTTI Riccardo,NIP,NIPPO - VINI FANTINI,ITA,747,17458,33742,51925,72591,90561,109050,125469,129061,151988,170496,185856,204128,228731,230876
136,FILOSI Iuri,NIP,NIPPO - VINI FANTINI,ITA,725,17509,33793,51976,72607,90317,108466
137,GROSU Eduard Michael,NIP,NIPPO - VINI FANTINI,ROU,759,17470,33754,51937,72488,90343,108411,124741,128219,151146,169654,185014,203286,227889,229904
138,YAMAMOTO Genki,NIP,NIPPO - VINI FANTINI,JPN,753,17464,33748,51931,72597,90452,108859,125381,128862,151187,169774,185388,203660,228263,230259
139,ZILIOLI Gianfranco,NIP,NIPPO - VINI FANTINI,ITA,730,17441,33561,50948,71920,89775,108182,124597,128024,150349,168350,183710,201982,226585,228572
141,CHAVES Esteban,OGE,ORICA GREENEDGE,COL,693,17404,33229,50446,70885,87779,105856,121202,124535,145338,163143,178503,194889,216855,218614
142,BEWLEY Sam,OGE,ORICA GREENEDGE,NZL,709,17465,33649,51832,72463,90318,108467,124797,128372,150444,169031,184391,202663,226851,228967
143,EWAN Caleb,OGE,ORICA GREENEDGE,AUS,754,17465,33290,51117,71552,89604,107672,124002,127522,150449,169306,184666
144,HEPBURN Michael,OGE,ORICA GREENEDGE,AUS,683,17394,33316,51499,72056,89911,108060,124390,127932,150859,169446,184806,203078,227681,229721
145,HOWSON Damien,OGE,ORICA GREENEDGE,AUS,682,17393,33581,51044,71621,88657,106742,122592,125842,147241,165125,180485,197910,221182,223169
146,MEZGEC Luka,OGE,ORICA GREENEDGE,SLO,728,17439,33295,50574,71013,88868,106936,123266,126880,149807,168664,184024,202296,226899,229003
147,PLAZA MOLINA Ruben,OGE,ORICA GREENEDGE,ESP,696,17407,33595,51058,71527,88584,106826,122376,125645,148572,167159,182519,200349,223098,224996
148,TUFT Svein,OGE,ORICA GREENEDGE,CAN,689,17400,33684,51867,72424,90279,108464,124794,128237,150562,169149,184509,202781,227384,229507
149,TXURRUKA Amets,OGE,ORICA GREENEDGE,ESP,714,17425,33347,50734,71351,88934,107119,123094,126455,147854,166441,181801,199412,222684,224615
151,DUMOULIN Tom,TGA,TEAM GIANT - ALPECIN,NED,663,17374,33199,50409,70848,87735,105803,121219,124442,145894
152,ARNDT Nikias,TGA,TEAM GIANT - ALPECIN,GER,712,17423,33543,50859,71317,89369,107437,122946,126371,148696,167070,182430,200702,224890,226869
153,DE BACKER Bert,TGA,TEAM GIANT - ALPECIN,BEL,737,17448,33600,51783,72454,90426,108503,124833,128286,151213,169800,185160,203432
154,HAGA Chad,TGA,TEAM GIANT - ALPECIN,USA,679,17390,33215,50786,71758,89327,107476,123806,127043,148737,167324,182684,200295,224151,226182
155,JI Cheng,TGA,TEAM GIANT - ALPECIN,CHN,744,17566,33850,51816,73285,91337,109522,126215,129862,152187,170561,185921,204193,228796,230789
156,LUDVIGSSON Tobias,TGA,TEAM GIANT - ALPECIN,SWE,671,17382,33207,50605,71070,88274,106611,122161,125410,146862,164888,180248,198669,222116,224017
157,PREIDLER Georg,TGA,TEAM GIANT - ALPECIN,AUT,680,17391,33216,50433,70868,87904,105972,121947,125397,146243,164200,179560,196478,218450,220373
158,STAMSNIJDER Tom,TGA,TEAM GIANT - ALPECIN,NED,728,17516,33636,51337,72008,89863,108270,124600,128029,150354,168941,184301,202573,227176,229208
159,TIMMER Albert,TGA,TEAM GIANT - ALPECIN,NED,705,17459,33381,51564,72536,90508,108677,125007,128295,151222,169809,185169,203441,227629,229595
161,ZAKARIN Ilnur,KAT,TEAM KATUSHA,RUS,695,17406,33231,50448,70883,87763,105831,121177,124513,145320,163125,178485,194871,216996,218762
162,BELKOV Maxim,KAT,TEAM KATUSHA,RUS,724,17435,33260,51443,72114,89697,107868,124198,127464,149789,167723,183083,200913,225516,227540
163,KOCHETKOV Pavel,KAT,TEAM KATUSHA,RUS,721,17432,33257,50474,70913,87968,106045,121595,125116,146057,164014,179374,196509,218968,220936
164,KUZNETSOV Viacheslav,KAT,TEAM KATUSHA,RUS,729,17440,33325,50854,71417,89272,107457,123536,126930,149857,168444,183804,202076,226679,228762
165,VOROBYEV Anton,KAT,TEAM KATUSHA,RUS,698,17409,33693,51394,72025,89880,108122,124452,127587,149912,168164,183524,201796,225652,227693
166,PORSEV Alexander,KAT,TEAM KATUSHA,RUS,701,17412,33237,51420,71859,89714,107782,124112,127645,150572,169080,184440,202712,227315,229471
167,SILIN Egor,KAT,TEAM KATUSHA,RUS,731,17442,33364,50618,71076,88112,106354,122081,125652,146593,165180,180540,197675,221122,222982
168,TAARAMAE Rein,KAT,TEAM KATUSHA,EST,701,17412,33237,50454,70893,87801,105869,121269,124706,146778,164583,179943,197368,220815,222611
169,TCATEVITCH Alexey,KAT,TEAM KATUSHA,RUS,700,17411,33236,50515,70950,88660,106728,122126,125901
171,KRUIJSWIJK Steven,TLJ,TEAM LOTTO NL - JUMBO,NED,685,17396,33221,50433,70872,87773,105841,121187,124435,145242,163047,178407,194793,216763,218482
172,BATTAGLIN Enrico,TLJ,TEAM LOTTO NL - JUMBO,ITA,714,17425,33250,50503,70957,88401,106469,122319,125659,147024,164829,180189,196795,219483,221510
173,HOFLAND Moreno,TLJ,TEAM LOTTO NL - JUMBO,NED,688,17399,33224,50925,71360,89215,107457,123787,127242,149567,168154,183514
174,CASTELIJNS Twan,TLJ,TEAM LOTTO NL - JUMBO,NED,698,17409,33693,51394,72025,89880,108022,124352,127756,149828,168415,183775,201605,225461,227465
175,KEIZER Martijn,TLJ,TEAM LOTTO NL - JUMBO,NED,680,17391,33675,51376,71999,89709,107786,124116,127344,149416,168003,183363,201193,225796,227824
176,ROGLIC Primoz,TLJ,TEAM LOTTO NL - JUMBO,SLO,663,17374,33658,51841,72507,89636,107878,124208,127313,148678,166778,182392,200003,223011,224914
177,TANKINK Bram,TLJ,TEAM LOTTO NL - JUMBO,NED,697,17408,33233,50563,71002,88585,106662,122389,125723,147175,165057,180417,198247,222103,224197
178,TJALLINGII Maarten,TLJ,TEAM LOTTO NL - JUMBO,NED,697,17513,33591,51774,72440,90295,108480,124810,127991,150316,168903,184263,202535,226391,228410
179,VAN EMDEN Jos,TLJ,TEAM LOTTO NL - JUMBO,NED,739,17450,33275,50846,71477,89332,107474,123804,126977,149049,167636,182996,201268,225871,227930
181,LANDA Mikel,SKY,TEAM SKY,ESP,703,17414,33239,50456,70895,87803,105871,121217,124462
182,BOSWELL Ian,SKY,TEAM SKY,USA,716,17427,33349,50603,71234,88388,106630,122960,126505,148830,167591,182951,201223,225079,226883
183,DEIGNAN Philip,SKY,TEAM SKY,IRL,713,17497,33419,50701,71332,88915,107157,123487,126864,149189,167697,183057,201329,225185,227129
184,HENAO Sebastian,SKY,TEAM SKY,COL,713,17424,33249,50503,70942,87964,106041,121752,125097,145909,163791,179151,195587,217795,219610
185,NIEVE Mikel,SKY,TEAM SKY,ESP,731,17442,33267,50730,71181,88097,106174,121574,125005,147932,165737,181097,197396,219604,221440
186,KNEES Christian,SKY,TEAM SKY,GER,699,17410,33235,50816,71359,89214,107282,123612,126916,148281,167138,182498,200109,223965,225974
187,LOPEZ GARCIA David,SKY,TEAM SKY,ESP,705,17416,33604,50821,71603,88624,106809,122784,126398,149325,167833,183193,200804,224460,226291
188,ROCHE Nicholas,SKY,TEAM SKY,IRL,693,17404,33229,50446,70885,87810,105878,121428,124791,145732,164240,179600,196518,218977,220862
189,VIVIANI Elia,SKY,TEAM SKY,ITA,699,17410,33229,51412,71923,89778,107846
191,MAJKA Rafal,TNK,TINKOFF,POL,701,17412,33237,50454,70893,87791,105859,121208,124489,145296,163101,178461,194847,216972,218760
192,BOARO Manuele,TNK,TINKOFF,ITA,681,17392,33676,51205,71753,88957,107106,122516,125712,146813,164618,179978,196747,220603,222590
193,BRUTT Pavel,TNK,TINKOFF,RUS,707,17418,33243,50814,71445,89300,107377,123707,127061,149133,167067,182427,200699,225302,227324
194,HERNANDEZ Jesus,TNK,TINKOFF,ESP,752,17463,33385,51086,71717,89275,107517,123492,126978,147936,166523,181883,199018,221855,223820
195,MCCARTHY Jay,TNK,TINKOFF,AUS,703,17414,33336,50589,71069,88779,107021,122748,126182,149109,167696,183056,201328,225265,227377
196,POLJANSKI Pawel,TNK,TINKOFF,POL,734,17445,33270,50524,70975,87952,106020,121747,125225,146085,164593,179953,197783,220791,222710
197,ROVNY Ivan,TNK,TINKOFF,RUS,720,17431,33715,50969,71434,88417,106485,122035,125609,146317,164825,180185,197320,220157,222181
198,PETROV Evgeny,TNK,TINKOFF,RUS,727,17438,33360,50747,71223,88278,106381,122231,125776,147228,166128,181488,199318,223921,225912
199,TOSATTO Matteo,TNK,TINKOFF,ITA,708,17419,33607,51136,71610,89465,107614,123944,127381,149453,167387,182747,201019,224875,226944
201,HESJEDAL Ryder,TFS,TREK - SEGAFREDO,CAN,696,17407,33232,50486,70925,87833,105910,121310,124593,145411,163216,178576,195038
202,ALAFACI Eugenio,TFS,TREK - SEGAFREDO,ITA,740,17451,33276,50847,71325,89180,107257,123232,126743,149068,167168,182528,200800,224737,226760
203,BOBRIDGE Jack,TFS,TREK - SEGAFREDO,AUS,705,17416,33700,51883,72855,90827,109316,125646,128956,151883,170470,185997,204269,228872,230947
204,CANCELLARA Fabian,TFS,TREK - SEGAFREDO,SUI,677,17499,33687,51482,72113,89968,108153,124483,127616
