rider_id,rider_name,team_id,team_name,country,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15
205,COLEDAN Marco,TFS,TREK - SEGAFREDO,ITA,708,17419,33260,51443,72074,89929,107997,124327,127706,150031,167982,183342,201614,226217,228306
206,DIDIER Laurent,TFS,TREK - SEGAFREDO,LUX,719,17430,33618,51005,71671,88820,107005,123084,126577,148029,166537,181897,199508,223364,225411
207,NIZZOLO Giacomo,TFS,TREK - SEGAFREDO,ITA,690,17401,33222,50504,70943,88798,106860,123190,126767,149092,166897,182256,200528,225131,227254
208,VAN POPPEL Boy,TFS,TREK - SEGAFREDO,NED,709,17420,33245,50946,71577,89629,107706
209,ZOIDL Riccardo,TFS,TREK - SEGAFREDO,AUT,691,17402,33686,51257,71888,88945,107187,122959,126472,147350,165937,181297,198413,221250,223136
211,POZZATO Filippo,STH,WILIER TRIESTINA - SOUTHEAST,ITA,731,17442,33364,50827,71278,89133,107253,123228,126719,149044,167552,183079,201351,225467,227551
212,AMEZQUETA Julen,STH,WILIER TRIESTINA - SOUTHEAST,ESP,708,17419,33498,51681,72347,90202,108444,124774,128164,150489,169076,184436,202047,226650,228593
213,BELLETTI Manuel,STH,WILIER TRIESTINA - SOUTHEAST,ITA,750,17461,33286,50673,71108,88963,107031,123006,126541,148866,166800,182160,200432,225035,227078
214,BERTAZZO Liam,STH,WILIER TRIESTINA - SOUTHEAST,ITA,710,17421,33246,50947,71425,89280,107381,123711,127091,149416,167922,183345,201766
215,BUSATO Matteo,STH,WILIER TRIESTINA - SOUTHEAST,ITA,734,17445,33270,50487,70926,88144,106481,122031,125545,147870,166378,181738,198856,221492,223567
216,RODRIGUEZ Cristian,STH,WILIER TRIESTINA - SOUTHEAST,ESP,743,17454,33738,51283,71914,89472,107809,124139,127551,149003,167511,182871,200482,224670,226612
217,MARECZKO Jakub,STH,WILIER TRIESTINA - SOUTHEAST,ITA,771,17482,33670,51853
218,MARTINEZ Daniel,STH,WILIER TRIESTINA - SOUTHEAST,COL,710,17421,33246,50864,71530,89385,107722,124052,127516,149588,167522,182882,201154,225010,226869
219,ZHUPA Eugert,STH,WILIER TRIESTINA - SOUTHEAST,ALB,756,17467,33292,50993,71659,88875,107312,123642,127184,149509,168017,183377,201649,226252,228303
